child_id,time,utterance_orig,txt_label_orig,img_label_orig,n_objs,mat_label_orig,ball_cluster,zem_cluster,rand,txt_label,img_label,mat_label,utterance
XS_0801,2,you're patting that ball.,ball,zem,1,FALSE,,0,0.51593763,ball,zem,FALSE,you're patting that ball.
XS_0801,302.1,that's a tima.,tima,brush,2,FALSE,,,0.949664346,tima,brush,FALSE,that's a tima.
XS_0801,302.1,that's a tima.,tima,tima,2,TRUE,,,0.348759091,tima,tima,TRUE,that's a tima.
XS_0801,328.1,brush.,brush,brush,2,TRUE,,,0.69836572,brush,brush,TRUE,brush.
XS_0801,328.1,brush.,brush,tima,2,FALSE,,,0.678056364,brush,tima,FALSE,brush.
XS_0801,330,against the tima.,tima,tima,1,TRUE,,,0.3453792,tima,tima,TRUE,against the tima.
XS_0801,456.9,tima,tima,tima,1,TRUE,,,0.708202629,tima,tima,TRUE,tima
XS_0805,223.8,is that a ball?,ball,zem,1,FALSE,,0,0.771202604,ball,zem,FALSE,is that a ball?
XS_0805,243.3,say ball.,ball,ball,1,TRUE,1,,0.080107311,wug,wug,TRUE,say wug.
XS_0805,251.3,the ball rolled away.,ball,ball,1,TRUE,1,,0.224903138,wug,wug,TRUE,the wug rolled away.
XS_0805,253.9,the ball rolled away.,ball,ball,1,TRUE,1,,0.808931998,ball,wug,FALSE,the ball rolled away.
XS_0805,282.5,want to see the brush?,brush,brush,1,TRUE,,,0.643228321,brush,brush,TRUE,want to see the brush?
XS_0805,640.7,can you get the ball?,ball,ball,1,TRUE,1,,0.265755627,wug,wug,TRUE,can you get the wug?
XS_0805,740.2,where's the ball?,ball,ball,1,TRUE,1,,0.073375317,wug,wug,TRUE,where's the wug?
XS_0805,741.6,can you get the ball?,ball,ball,1,TRUE,1,,0.35807221,wug,wug,TRUE,can you get the wug?
XS_0805,748.9,can you get the ball?,ball,ball,1,TRUE,1,,0.558401116,wug,wug,TRUE,can you get the wug?
XS_0805,790,you want a brush?,brush,brush,1,TRUE,,,0.362523274,brush,brush,TRUE,you want a brush?
XS_0805,861.9,where's the ball?,ball,ball,1,TRUE,1,,0.29636651,wug,wug,TRUE,where's the wug?
XS_0805,863.3,where's the ball?,ball,ball,1,TRUE,1,,0.230145254,wug,wug,TRUE,where's the wug?
XS_0805,867.5,where's the ball?,ball,ball,1,TRUE,1,,0.733350944,wug,wug,TRUE,where's the wug?
XS_0805,868.2,can you get the ball?,ball,ball,1,TRUE,1,,0.371356701,wug,wug,TRUE,can you get the wug?
XS_0807,53.6,can you bounce the ball?,ball,ball,1,TRUE,1,,0.031428248,wug,wug,TRUE,can you bounce the wug?
XS_0807,156.3,or do you like the the manu?,manu,manu,1,TRUE,,,0.693579804,manu,manu,TRUE,or do you like the the manu?
XS_0807,158.4,you like the manu?,manu,manu,1,TRUE,,,0.171799893,manu,manu,TRUE,you like the manu?
XS_0807,357.6,tima.,tima,tima,1,TRUE,,,0.245074937,tima,tima,TRUE,tima.
XS_0807,504.1,you see the tima?,tima,tima,1,TRUE,,,0.229008951,tima,tima,TRUE,you see the tima?
XS_0807,505.7,and you're chewing on the brush there.,brush,tima,1,FALSE,,,0.748878096,brush,tima,FALSE,and you're chewing on the brush there.
XS_0807,650.6,let's put the tima and the zem or the brush away.,zem,brush,1,FALSE,,,0.965603139,zem,brush,FALSE,let's put the tima and the zem or the brush away.
XS_0807,653.7,you want to try the ball and the zem again?,ball,ball,2,TRUE,1,,0.366442373,wug,wug,TRUE,you want to try the wug and the zem again?
XS_0807,653.7,you want to try the ball and the zem again?,ball,zem,2,FALSE,,1,0.042475943,ball,blicket,FALSE,you want to try the ball and the zem again?
XS_0807,730,here's the ball.,ball,ball,1,TRUE,1,,0.835243155,ball,wug,FALSE,here's the ball.
XS_0807,773.1,you want the zem?,zem,zem,1,TRUE,,0,0.83960442,blicket,zem,FALSE,you want the blicket?
XS_0811,81.7,see the car driving on mommy.,car,car,1,TRUE,,,0.855279245,car,car,TRUE,see the car driving on mommy.
XS_0811,254.6,car.,car,car,1,TRUE,,,0.013012499,car,car,TRUE,car.
XS_0811,257.1,wanna drive the car again?,car,car,1,TRUE,,,0.791356921,car,car,TRUE,wanna drive the car again?
XS_0811,307.2,wanna play ball?,ball,zem,1,FALSE,,1,0.210855852,ball,blicket,FALSE,wanna play ball?
XS_0811,365.7,should we put the ball on top?,ball,ball,1,TRUE,0,,0.902778325,wug,ball,FALSE,should we put the wug on top?
XS_0811,403.5,the ball?,ball,ball,1,TRUE,0,,0.900646974,wug,ball,FALSE,the wug?
XS_0811,525.5,ball.,ball,ball,1,TRUE,1,,0.876255216,ball,wug,FALSE,ball.
XS_0811,569.4,you wanna play with the ball?,ball,ball,1,TRUE,1,,0.146139262,wug,wug,TRUE,you wanna play with the wug?
XS_0814,19,we've got a zem.,zem,zem,1,TRUE,,1,0.165389752,blicket,blicket,TRUE,we've got a blicket.
